"This email address will also be used as a username for your professional stylist account", "Cette adresse courriel peut aussi être utilisé comme nom d’utilisateur pour votre compte professionnel de la coiffure"
"Please upload your diploma certificate or student card","Votre diplôme, certificat ou carte étudiante"
"Make sure your student card has the name and telephone number of your school Maximum file size %1 MB. Supported formats: pdf, jpg, jpeg, gif, png, doc and docx", "Assurez-vous que votre carte d'étudiant porte le nom et le numéro de téléphone de votre école Taille maximale du fichier %1 Mo. Formats pris en charge : pdf, jpg, jpeg, gif, png, doc et docx"
"Proof of Identity", "Preuve d’identité"
"Driver's license, health insurance card or birth certificate Maximum file size %1 MB. Supported formats: pdf, jpg, jpeg, gif, png, doc and docx", "Permis de conduire, carte d'assurance maladie ou certificat de naissance Taille maximale du fichier %1 Mo. Formats pris en charge : pdf, jpg, jpeg, gif, png, doc et docx"
"Name of Hair Salon", "Nom du salon"
"Salon Address","Adresse du Salon"
"Salon Phone Number", "Numéro de Téléphone du Salon"
"Postal Code", "Code Postal"
"SEND MAIL", "OUVRIR UN COMPTE"
"Thank you for submitting your information to qualify for a Stylist / Salon Account. We will review your documents and send you a confirmation email soon!", "Merci d'avoir soumis vos informations pour bénéficier d'un compte Styliste / Salon. Nous examinerons vos documents et vous enverrons bientôt un e-mail de confirmation !
"First Name","Prénom"
"Last Name","Nom"
