"File to Import","File to Import"
"Select File","Select File"
"Download Sample File","Download Sample File"
"Save and Continue Edit","Save and Continue Edit"
Duplicate,Duplicate
"Edit Method ""%1""","Edit Method ""%1"""
"New Method","New Method"
ID,ID
Name,Name
All,All
Country,Country
State/Region,State/Region
"Zip/Post code","Zip/Post code"
Weight,Weight
Price,Price
"# of Items","# of Items"
"Shipping Group","Shipping Group"
"Product Fixed Rate","Product Fixed Rate"
"Product Percentage Rate","Product Percentage Rate"
"Weight Fixed Rate","Weight Fixed Rate"
"Order Fixed Rate","Order Fixed Rate"
"Estimated Delivery Days","Estimated Delivery Days"
Labels,Labels
Label,Label
Description,Description
General,General
"You can use variable {{delivery_days}} to show the estimated delivery days on the shipping method's name on storefront.","You can use variable {{delivery_days}} to show the estimated delivery days on the shipping method's name on storefront."
"Internal Note","Internal Note"
Status,Status
"Calculation Shipping Rate Rule","Calculation Shipping Rate Rule"
"Select how to calculate shipping fee for cart with different shipping rates.","Select how to calculate shipping fee for cart with different shipping rates."
Image,Image
"The image is shown before the shipping method at the backend and frontend.","The image is shown before the shipping method at the backend and frontend."
"Store View(s)","Store View(s)"
"Customer Group(s)","Customer Group(s)"
Conditions,Conditions
"Is Zip/Postcode Range","Is Zip/Postcode Range"
Zip/Postcode,Zip/Postcode
"Zip/Postcode From","Zip/Postcode From"
"Weight From","Weight From"
"Price From","Price From"
"Qty From","Qty From"
here,here
"Also shown on product edit page. To add the options, please go to settings %1.","Also shown on product edit page. To add the options, please go to settings %1."
Settings,Settings
"The fixed rate for each product in the cart","The fixed rate for each product in the cart"
"The percentage of each product price, based on which the rate is counted","The percentage of each product price, based on which the rate is counted"
"Weight Unit Fixed Rate","Weight Unit Fixed Rate"
"The fixed rate for each weight unit","The fixed rate for each weight unit"
"The fixed rate for the whole order","The fixed rate for the whole order"
"Estimated Delivery Time","Estimated Delivery Time"
days,days
Action,Action
CSV,CSV
Delete,Delete
"Method Information","Method Information"
Information,Information
"Shipping Rates","Shipping Rates"
Edit,Edit
"You have added %1 record(s)","You have added %1 record(s)"
"%1 error(s)","%1 error(s)"
"The method has been deleted.","The method has been deleted."
"We can't delete the method right now.","We can't delete the method right now."
"We can't find a method to delete.","We can't find a method to delete."
"The method has been duplicated.","The method has been duplicated."
"This method no longer exists.","This method no longer exists."
"Create New Method","Create New Method"
