mpn,manufacturer,"product name","product  description ",price,stock,"stock description","product url","image url",category,"shipping rate"
HFTLRB43,"Hair Forensic","Hairforensic Thermology Ceramic Round Brush 12345",,"22.00 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/hairforensic-thermology-ceramic-round-brush-43mm,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/f/hftlrb43_181x705_copy.jpg,"Hair Brushes",HFTLRB43
KS6,KeraStraight,"KeraStraight Moisture Enhance Conditioner 250 Ml","KeraStraight Moisture enhance conditioner is the helping-hand you need for dry, coarse or damaged hair. Working in combination with KeraStraight Moisture Enhance Shampoo, it offers a delightful, nourishing experience that your hair will absolutely love.PRODUCT FEATURES:Stronger, healthier, luscious hair, that feels as good as it looksHydrates and revitalises&nbsp;hair&nbsp;Frizz-free hairDetangle and protect hair against breakageMaximise the longevity and benefits of KeraStraight treatmentsContains our specially formulated KS Complex&nbsp;Made from&nbsp;African and Amazonian fruit and plant extractsProtects against environmental stressesMakes styling your hair simple, easy and stress-freeQuantity:&nbsp;250ml","31.96 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/hair-treatment,,"Keratin Treatments",KS6
L46561,Lakme,"K.Style Fiber Paste Molding Paste 100 ml","1. PRODUCT INFO : Fibrous elastic paste to mold finishes.2. FOR WHOM / USE : For all hair types.3. FOR WHAT / BENEFIT :• Ultra texture effect.• Separate and support.• Hold factor 2.• A natural barrier to protect hair structure from the damaging effect of free radicals.• UV Protection.• Thermal Protection.• Color Safe.4. ABOUT THE COLLECTION : Hottest is a range of products to create extreme styles. Surprising textures and innovative shapes to get today’s most sought-after looks.","21.20 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/moisturizers-cream,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l46561_1.jpg,"Hair Styling",L46561
HT7KSS1812,"Hair Treats"," 7 Piece Clip-In Sleek N' Straight 18"" (Light Colors)","Every woman should own a set of these, use these extensions to add volume or length, or use them to accentuate up-do's.  PRODUCT FEATURES: This set comes with 7 pieces of clip in extensions",,Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/hair-extensions-sleek-18,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/t/ht7kss18_-_7_piece_clip-in_sleek_n_straight_18_540x702.jpg,"Clip-in Extensions",HT7KSS1812
L43513,Lakme,"K.Therapy Repair Conditioning Fluid 1000 ml","1. PRODUCT INFO : Nourishing conditioner for dry hair.2. FOR WHOM / USE :For dry hair.3. FOR WHAT / BENEFIT :• Conditions and softens dry and very dry hair.• Makes hair easier to comb.• Reconstitutes the protective hydrolyptic layer.• Provides long term scalp comfort.• Hydrating sugar complex which is freed in sequence to capture the moisture in the skin.• Immediate and long-lasting hydrating effect.4. ABOUT THE COLLECTION : Repair is a line of products specific for dry and very dry hair. It is formulated with Aqua-oil complex, which combines natural Babassu and Macadamia oils with the long-term moisturizing properties of Hydromanil™.","58.80 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/k-therapy-repair-conditioning-fluid-1000-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/4/l43513_227x705.jpg,"Default Category",L43513
COMBRUSH,Combinal,"Combinal Brow And Lash Brush","The unique formula gives the eyes a natural radiant and defined look. Eyelash and eyebrow tinting will create that all-important definition and add both frame and structure to your face. The additional benefit is the round-the-clock effect: With dyed lashes, you wake up with looking like you already have light make-up applied. Lash tinting is a great option for women who lead a busy lifestyle and the perfect solution for brighter and more beautiful eyes.PRODUCT FEATURES:Permanent tint for eyelashes and eyebrowsLashes appear fuller and more intenseEyebrows gain fullness, definition and shapeWaterproof color results that last up to 6 weeks.The treatment creates a long lasting and immediate color resultsTinted lashes look longer and more voluminousThe sale and use of this product is intended for licensed professionals only. Use by non-licensed persons may result in unsatisfactory performance. BeautyRoute will not be held responsible by anyone who buys and/or use this product in breach of this warning.Hair color products may cause allergic reactions, which in rare instances can be severe. Conduct hypersensitivity and allergic patch test 48 hours prior to each application. Read and follow instructions carefully. this product must not be used for dyeing eyelashes or eyebrows. To do so may cause blindness. Wear suitable gloves. Keep out of reach of children. For professional use only","12.76 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-brow-and-lash-brush,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/combrush_01_253yxmeqmmtq7u7d.jpg,"Eyelash & Brow Tinting",COMBRUSH
COMCOLORCLEANSER,Combinal,"Combinal Color Cleansing Lotion 125Ml",,"51.96 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-color-cleansing-lotion-125ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/comlashcleanser_313x705_eqw9nax9rlsywbhb.png,"Eyelash & Brow Tinting",COMCOLORCLEANSER
COMGELDEV,Combinal,"Combinal Premium Gel Developer",,"58.80 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-premium-gel-developer,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/comgeldev_01_jmg6vygwaokjr9wc.jpeg,"Eyelash & Brow Tinting",COMGELDEV
COMKIT,Combinal,"Combinal Dye Kit",,"43.16 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-dye-kit,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/comkitbl_01_pbclylrrkwwrfkdl.png,"Eyelash & Brow Tinting",COMKIT
COML,Combinal,"Combinal Dye 15Ml",,"20.76 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-dye-15ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/1/1/110036_xkttfxuegfd9p2mb.jpg,"Eyelash & Brow Tinting",COML
