sku,price,b2b_canada,b2b_usa,b2c_canada,b2c_usa,b2b_canada_discount,b2b_united_state_discount,b2c_canada_discount,b2c_united_state_discount
ALCIPH6060,614.99,614.99,614.99,614.99,521.99,165,165,95,80
G-IQDRYER-ROSE,614.99,614.99,614.99,614.99,521.99,165,165,95,80
G-IQDRYER-BLK,614.99,614.99,614.99,614.99,521.99,165,165,95,80
L46632,45.5,45.5,45.5,45.5,45.5,22.9,22.9,9,9
AE1008971,41.95,41.95,41.95,41.95,41.95,21,21,8.5,8.5
AE1008966,33.95,33.95,33.95,33.95,33.95,17.15,17.15,6.7,6.7
AE1008975,35.95,35.95,35.95,35.95,35.95,18.05,18.05,7.2,7.2
AE1008973,33.95,33.95,33.95,33.95,33.95,17.15,17.15,6.7,6.7
L45511,20.5,20.5,20.5,20.5,20.5,10.5,10.5,3,3
L44111,76.95,76.95,76.95,76.95,76.95,38.7,38.7,15.5,15.5
L44112,32.95,32.95,32.95,32.95,32.95,16.65,16.65,6.7,6.7
L45501,37.95,37.95,37.95,37.95,37.95,19.05,19.05,7.5,7.5
