sku,price,b2b_canada,b2b_usa,b2c_canada,b2c_usa,b2b_canada_discount,b2b_united_state_discount,b2c_canada_discount,b2c_united_state_discount
HTNSSS18-1,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-1B,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-2,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-3,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-4,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-5,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-6,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-9,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-12,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-14,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-15,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-16,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-18,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-22,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-24,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-26,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-27,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-28,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-30,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-31,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-32,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-33,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-35,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-60,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-613,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-1822,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-27613,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Burgundy,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Deep Blue,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Fuchsia,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Green,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Hot Pink,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Orange,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Pink,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Purple,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Red,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Teal,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-Violet,91.95,91.95,91.95,91.95,91.95,37,37,,
HTNSSS18-White,91.95,91.95,91.95,91.95,91.95,37,37,,
